epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
91,33128.9,0.70744,1.00679,1.27211,0.26682,0.36389,0.26995,0.20414,1.50876,3.42324,3.55174,0.000693125,0.000693125,0.000693125
92,33489.6,0.63835,0.9113,1.22612,0.27082,0.39961,0.28767,0.20567,2.36683,5.87748,3.80719,0.000686937,0.000686937,0.000686937
93,33851.3,0.6227,0.88824,1.22431,0.40648,0.36389,0.40498,0.2778,1.50112,2.95309,2.70507,0.00068075,0.00068075,0.00068075
94,34214.6,0.6714,0.97083,1.27217,0.44849,0.36111,0.39972,0.2846,1.2772,3.00332,2.67238,0.000674562,0.000674562,0.000674562
95,34576.5,0.60527,0.86724,1.20896,0.33588,0.64444,0.45537,0.30183,1.46014,2.0984,3.05644,0.000668375,0.000668375,0.000668375
96,34949.9,0.66307,0.96656,1.28959,0.29835,0.50278,0.41295,0.26516,1.34812,2.44634,2.60048,0.000662188,0.000662188,0.000662188
97,35311.5,0.59712,0.86795,1.21926,0.39906,0.38889,0.34827,0.25242,1.47009,3.3442,2.8386,0.000656,0.000656,0.000656
98,35673.3,0.65925,0.88951,1.26018,0.30472,0.64905,0.40051,0.28782,1.32608,2.99288,2.54584,0.000649813,0.000649813,0.000649813
99,36034.1,0.65164,0.8717,1.25514,0.34737,0.63056,0.45948,0.31933,1.34882,1.98577,2.78371,0.000643625,0.000643625,0.000643625
100,36398.1,0.61091,0.97875,1.23369,0.28712,0.53109,0.36001,0.23343,1.4922,2.71632,3.01359,0.000637437,0.000637437,0.000637437
101,36761,0.6594,0.907,1.23004,0.33177,0.36202,0.4096,0.28032,1.48483,4.40348,3.37991,0.00063125,0.00063125,0.00063125
102,37124.7,0.59792,0.83795,1.21599,0.34179,0.57222,0.40472,0.28433,1.42041,2.9059,2.84307,0.000625062,0.000625062,0.000625062
103,37487.7,0.60761,0.81229,1.20424,0.37035,0.375,0.35837,0.24195,1.51673,3.23785,2.74819,0.000618875,0.000618875,0.000618875
104,37850.7,0.68843,0.94199,1.28321,0.41083,0.31111,0.38988,0.24998,1.30405,2.57225,2.33733,0.000612687,0.000612687,0.000612687
105,38215,0.68563,0.87122,1.27509,0.30973,0.49274,0.41659,0.28304,1.64719,2.60822,2.84834,0.0006065,0.0006065,0.0006065
106,38578.6,0.63357,0.803,1.24162,0.29921,0.60799,0.42636,0.27053,1.40666,3.28195,2.67206,0.000600313,0.000600313,0.000600313
107,38943.3,0.64594,0.84368,1.25055,0.5318,0.46667,0.38261,0.24665,1.29865,3.19165,2.46352,0.000594125,0.000594125,0.000594125
108,39304.2,0.67859,0.92824,1.25666,0.37266,0.42382,0.44583,0.31232,1.50329,2.66861,3.27606,0.000587938,0.000587938,0.000587938
109,39667.4,0.60459,0.81937,1.21924,0.29479,0.453,0.32192,0.22589,1.5188,2.84801,3.48839,0.00058175,0.00058175,0.00058175
110,40032.7,0.66193,0.81848,1.24028,0.43289,0.34615,0.37612,0.24799,1.2539,3.11502,2.28578,0.000575563,0.000575563,0.000575563
111,40396.3,0.63186,0.80117,1.23341,0.1698,0.21111,0.18737,0.11405,1.88286,4.99161,2.66743,0.000569375,0.000569375,0.000569375
112,40758.6,0.66793,0.86426,1.25374,0.27116,0.58335,0.42213,0.2578,1.60959,2.37598,3.24578,0.000563187,0.000563187,0.000563187
113,41123.9,0.68,1.24013,1.28492,0.30567,0.36111,0.28455,0.17768,1.32429,3.20708,2.55005,0.000557,0.000557,0.000557
114,41488.5,0.62074,0.81449,1.21025,0.35938,0.33358,0.39453,0.24302,1.30959,2.54253,2.54949,0.000550813,0.000550813,0.000550813
115,41852.7,0.61576,0.76398,1.23012,0.37143,0.4885,0.40386,0.27809,1.29568,1.8732,2.38402,0.000544625,0.000544625,0.000544625
116,42220.7,0.62449,0.82147,1.21535,0.28917,0.61389,0.4434,0.28597,1.43934,2.23064,2.93068,0.000538438,0.000538438,0.000538438
117,42582.4,0.60945,0.81677,1.21952,0.3466,0.55352,0.41787,0.28376,1.69663,3.09263,2.51361,0.00053225,0.00053225,0.00053225
118,42948.9,0.55295,0.75143,1.19342,0.45046,0.26944,0.27002,0.17874,2.17211,5.4714,3.07658,0.000526063,0.000526063,0.000526063
119,43312.7,0.61188,0.81033,1.22324,0.3771,0.4296,0.44197,0.29153,1.16421,3.13178,2.29261,0.000519875,0.000519875,0.000519875
120,43676.7,0.60331,0.78404,1.23921,0.42411,0.33889,0.37352,0.24887,1.94964,2.98811,2.75926,0.000513688,0.000513688,0.000513688
121,44040.7,0.59518,0.80703,1.21977,0.34808,0.32222,0.35482,0.21985,1.54182,2.62095,2.95056,0.0005075,0.0005075,0.0005075
122,44405.8,0.57508,0.75034,1.19014,0.32084,0.45278,0.40081,0.28073,1.41655,2.90369,3.17168,0.000501313,0.000501313,0.000501313
123,44770.1,0.60386,0.78083,1.22034,0.35405,0.43566,0.39583,0.23957,1.16733,3.76923,2.31154,0.000495125,0.000495125,0.000495125
124,45132.2,0.57462,0.7583,1.20329,0.3013,0.45615,0.3372,0.24126,1.33122,3.36588,2.76042,0.000488938,0.000488938,0.000488938
125,45496,0.57483,0.72526,1.16097,0.29148,0.36111,0.33175,0.20146,2.31346,3.56763,3.27426,0.00048275,0.00048275,0.00048275
126,45860.2,0.60706,0.80028,1.21728,0.31435,0.38611,0.35289,0.22869,1.30087,3.3049,2.40336,0.000476562,0.000476562,0.000476562
127,46220.1,0.57818,0.72654,1.18247,0.46706,0.33156,0.3527,0.22745,2.42401,4.02058,3.38856,0.000470375,0.000470375,0.000470375
128,46583.3,0.58298,0.75328,1.18124,0.34095,0.33333,0.38213,0.24918,1.33571,3.15095,2.50132,0.000464188,0.000464188,0.000464188
129,46948,0.55173,0.71648,1.16796,0.31272,0.41389,0.40608,0.27001,1.43738,3.66555,2.99405,0.000458,0.000458,0.000458
130,47311,0.54515,0.69439,1.18378,0.33674,0.425,0.39685,0.2523,1.51196,3.45907,2.49338,0.000451813,0.000451813,0.000451813
131,47676.4,0.54922,0.81665,1.15312,0.32805,0.43889,0.40311,0.26189,1.91483,2.84905,2.87525,0.000445625,0.000445625,0.000445625
132,48043.2,0.5644,0.72472,1.19064,0.43785,0.31111,0.36481,0.21616,1.57628,3.04653,2.63575,0.000439437,0.000439437,0.000439437
133,48405.9,0.59277,0.71664,1.19967,0.31713,0.47778,0.35875,0.25214,1.38685,3.3332,2.53265,0.00043325,0.00043325,0.00043325
134,48772.8,0.56602,0.6718,1.17835,0.4245,0.31944,0.35637,0.22543,2.24881,4.03279,3.04722,0.000427062,0.000427062,0.000427062
